Station,Station_key,Line,Line_Code,Time
Central do Brasil,201,Deodoro,2,0
Praca da Bandeira,202,Deodoro,2,4
Sao Cristovao,203,Deodoro,2,6
Maracana,204,Deodoro,2,8
Mangueira,205,Deodoro,2,9
Sao Francisco Xavier,206,Deodoro,2,11
Riachuelo,207,Deodoro,2,13
Sampaio,208,Deodoro,2,14
Engenho Novo,209,Deodoro,2,16
Meier,210,Deodoro,2,18
Olimpica de Engenho de Dentro,211,Deodoro,2,21
Piedade,212,Deodoro,2,24
Quintino,213,Deodoro,2,26
Cascadura,214,Deodoro,2,28
Madureira,215,Deodoro,2,30
Oswaldo Cruz,216,Deodoro,2,32
Prefeito Bento Ribeiro,217,Deodoro,2,35
Marechal Hermes,218,Deodoro,2,37
Deodoro,219,Deodoro,2,40
Central do Brasil,601,Santa Cruz,6,0
Sao Cristovao,602,Santa Cruz,6,6
Maracana,603,Santa Cruz,6,7
Silva Freire,604,Santa Cruz,6,11
Madureira,605,Santa Cruz,6,19
Deodoro,606,Santa Cruz,6,26
Vila Militar,607,Santa Cruz,6,30
Magalhaes Bastos,608,Santa Cruz,6,32
Realengo,609,Santa Cruz,6,35
Mocidade Padre Miguel,610,Santa Cruz,6,38
Guilherme da Silveira,611,Santa Cruz,6,40
Bangu,612,Santa Cruz,6,42
Senador Camara,613,Santa Cruz,6,44
Santissimo,614,Santa Cruz,6,46
Augusto Vasconcelos,615,Santa Cruz,6,52
Campo Grande,616,Santa Cruz,6,56
Benjamim do Monte,617,Santa Cruz,6,59
Inhoaiba,618,Santa Cruz,6,62
Cosmos,619,Santa Cruz,6,64
Paciencia,620,Santa Cruz,6,67
Tancredo Neves,621,Santa Cruz,6,70
Santa Cruz,622,Santa Cruz,6,75
Central do Brasil,401,Japeri,4,0
Sao Cristovao,402,Japeri,4,6
Maracana,403,Japeri,4,7
Silva Freire,404,Japeri,4,11
Madureira,405,Japeri,4,19
Deodoro,406,Japeri,4,26
Ricardo de Albuquerque,407,Japeri,4,30
Anchieta,408,Japeri,4,35
Olinda,409,Japeri,4,37
Nilopolis,410,Japeri,4,39
edson Passos,411,Japeri,4,42
Mesquita,412,Japeri,4,45
Presidente Juscelino,413,Japeri,4,48
Nova Iguacu,414,Japeri,4,51
Comendador Soares,415,Japeri,4,57
Austin,416,Japeri,4,63
Queimados,417,Japeri,4,68
Engenheiro Pedreira,418,Japeri,4,75
Japeri,419,Japeri,4,83
Japeri,501,Paracambi,5,0
Lajes,502,Paracambi,5,7
Paracambi,503,Paracambi,5,12
Central do Brasil,101,Belford Roxo,1,0
Sao Cristovao,102,Belford Roxo,1,5
Maracana,103,Belford Roxo,1,7
Triagem,104,Belford Roxo,1,9
Jacarezinho,105,Belford Roxo,1,12
Del Castilho,106,Belford Roxo,1,15
Pilares,107,Belford Roxo,1,18
Tomas Coelho,108,Belford Roxo,1,21
Cavalcanti,109,Belford Roxo,1,23
Mercadao de Madureira,110,Belford Roxo,1,27
Rocha Miranda,111,Belford Roxo,1,30
Honorio Gurgel,112,Belford Roxo,1,32
Barros Filho,113,Belford Roxo,1,35
Costa Barros,114,Belford Roxo,1,38
Pavuna/Sao Joao de Meriti,115,Belford Roxo,1,41
Vila Rosali,116,Belford Roxo,1,44
Agostinho Porto,117,Belford Roxo,1,47
Coelho da Rocha,118,Belford Roxo,1,49
Belford Roxo,119,Belford Roxo,1,53
Central do Brasil,701,Saracuruna,7,0
Sao Cristovao,702,Saracuruna,7,5
Maracana,703,Saracuruna,7,7
Triagem,704,Saracuruna,7,11
Manguinhos,705,Saracuruna,7,14
Bonsucesso,706,Saracuruna,7,16
Ramos,707,Saracuruna,7,18
Olaria,708,Saracuruna,7,21
Penha,709,Saracuruna,7,24
Penha Circular,710,Saracuruna,7,26
Bras de Pina,711,Saracuruna,7,28
Cordovil,712,Saracuruna,7,30
Parada de Lucas,713,Saracuruna,7,32
Vigario Geral,714,Saracuruna,7,35
Duque de Caxias,715,Saracuruna,7,39
Corte Oito,716,Saracuruna,7,43
Gramacho,717,Saracuruna,7,47
Campos Eliseos,718,Saracuruna,7,54
Jardim Primavera,719,Saracuruna,7,58
Saracuruna,720,Saracuruna,7,62
Saracuruna,301,Guapimirim,3,
Parque Estrela,302,Guapimirim,3,
Surui,303,Guapimirim,3,
Iriri,304,Guapimirim,3,
Mage,305,Guapimirim,3,
Jardim Nova Marilia,306,Guapimirim,3,
Jororo,307,Guapimirim,3,
Citrolândia,308,Guapimirim,3,
Parada Ideal,309,Guapimirim,3,
Jardim Guapimirim,310,Guapimirim,3,
Parada Modelo,311,Guapimirim,3,
Parada Bananal,312,Guapimirim,3,
Guapimirim,313,Guapimirim,3,
Saracuruna,801,Vila Inhomirim,8,0
Morabi,802,Vila Inhomirim,8,6
Imbarie,803,Vila Inhomirim,8,12
Manoel Belo,804,Vila Inhomirim,8,26
Parada Angelica,805,Vila Inhomirim,8,30
Piabeta,806,Vila Inhomirim,8,36
Fragoso,807,Vila Inhomirim,8,42
Vila Inhomirim,808,Vila Inhomirim,8,47
